time,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-01-23T22:00,3.5,80,11.2
2025-01-23T23:00,3.2,80,9.8
2025-01-24T10:00,5.0,79,14.3
2025-01-24T11:00,6.0,77,15.0
2025-01-24T12:00,7.0,72,17.1
2025-01-24T13:00,7.4,71,16.1
2025-01-24T14:00,7.4,73,16.2
2025-01-24T15:00,7.4,74,16.4
2025-01-24T16:00,7.1,77,14.7
2025-01-24T17:00,7.1,80,13.7
2025-01-25T08:00,8.5,78,15.0
2025-01-25T09:00,9.0,77,15.0
2025-01-25T10:00,9.7,70,14.5
2025-01-25T11:00,10.7,64,15.6
2025-01-25T12:00,11.8,58,14.9
2025-01-25T13:00,12.4,55,14.2
2025-01-25T14:00,12.9,54,12.0
2025-01-25T15:00,13.6,53,10.1
2025-01-25T16:00,12.8,58,10.2
2025-01-25T17:00,12.4,59,10.0
2025-01-25T18:00,11.9,64,8.2
2025-01-25T19:00,10.8,79,7.8
2025-01-26T11:00,8.8,79,11.3
2025-01-26T12:00,9.6,76,10.5
2025-01-26T13:00,9.9,77,8.2
2025-01-26T14:00,9.9,71,13.4
2025-01-27T04:00,4.6,80,12.1
2025-01-27T05:00,5.0,77,12.2
2025-01-27T06:00,5.3,74,14.3
2025-01-27T07:00,5.6,77,12.9
2025-01-27T10:00,7.7,80,15.2
2025-01-27T11:00,10.0,73,16.6
2025-01-27T12:00,11.0,71,15.6
2025-01-27T13:00,11.3,71,14.4
2025-01-27T14:00,10.9,74,12.5
2025-01-28T12:00,8.5,77,4.8
2025-01-28T13:00,8.5,79,4.7
2025-01-29T10:00,7.7,78,16.0
2025-01-29T12:00,8.6,78,14.0
2025-01-29T13:00,9.2,69,16.6
2025-01-29T14:00,9.3,65,17.4
2025-01-29T15:00,8.7,67,19.2
2025-01-29T16:00,7.9,68,17.2
2025-01-29T17:00,7.5,69,14.4
2025-01-29T18:00,7.2,70,14.0
2025-01-29T19:00,6.8,73,11.7
2025-01-29T20:00,6.3,78,13.0
2025-01-29T21:00,6.8,76,11.7
2025-01-30T11:00,6.1,78,8.4
2025-01-30T12:00,7.3,75,7.6
2025-01-30T13:00,7.6,73,9.0
2025-01-30T14:00,7.7,74,6.9
2025-01-30T15:00,7.9,73,5.4
2025-01-30T16:00,7.5,76,5.8
2025-01-30T17:00,6.9,79,5.8
2025-01-31T10:00,4.0,78,15.5
2025-01-31T11:00,4.9,71,15.2
2025-01-31T12:00,5.4,67,15.5
2025-01-31T13:00,5.7,65,16.6
2025-01-31T14:00,5.8,62,17.7
2025-01-31T15:00,5.6,65,14.8
2025-01-31T16:00,5.2,69,13.4
2025-01-31T17:00,4.7,73,13.0
2025-01-31T18:00,4.9,71,14.0
2025-01-31T19:00,4.5,75,13.7
2025-01-31T20:00,4.2,77,13.7
2025-01-31T21:00,4.3,77,12.2
2025-01-31T22:00,3.9,78,12.0
2025-01-31T23:00,3.5,80,10.9
2025-02-01T11:00,3.8,77,7.2
2025-02-01T12:00,4.2,80,6.9
2025-02-01T13:00,4.3,80,7.2
2025-02-01T14:00,4.5,80,6.3
2025-02-01T15:00,4.6,79,6.5
2025-02-01T16:00,4.0,80,5.6
2025-02-02T11:00,3.6,77,4.2
2025-02-02T12:00,3.9,75,3.4
2025-02-02T14:00,4.4,67,3.6
2025-02-02T15:00,4.3,71,4.9
2025-02-02T16:00,4.0,71,4.7
2025-02-02T17:00,3.5,76,5.3
2025-02-03T13:00,2.7,75,4.1
2025-02-03T14:00,3.6,71,5.9
2025-02-03T15:00,3.7,67,6.3
2025-02-03T16:00,2.9,67,6.0
2025-02-03T17:00,2.0,72,5.4
2025-02-03T18:00,1.3,76,5.2
2025-02-03T19:00,0.9,76,4.7
2025-02-03T20:00,0.7,77,4.9
2025-02-03T21:00,0.4,78,4.3
2025-02-03T22:00,0.1,79,4.2
2025-02-04T10:00,0.3,79,5.1
2025-02-04T11:00,1.3,73,5.4
2025-02-04T12:00,2.2,70,4.7
2025-02-04T13:00,2.9,66,5.4
2025-02-04T14:00,3.4,65,5.0
2025-02-04T15:00,3.5,65,4.7
2025-02-04T16:00,2.7,69,4.3
2025-02-04T17:00,1.8,73,4.7
